CRN,Course #,Sc,Title,Attribute,Units,CAP,Enr,Instructor,Days,Times,Room,Comments/Prereq.,Perm Only
31621,ACCT 101,1,PRINCIPLES OF ACCOUNTING,,1.00,35,39,Da Wu,MR,02:50 PM - 04:05 PM,JC206,MUST REG FOR DISC,N
32725,ACCT 101,901,DISC: PRINCIPLES OF ACCOUNTING,,0.00,35,39,Da Wu,F,11:00 AM - 11:50 AM,JC101,,N
34025,ACCT 203,1,MANAGEMENT ACCOUNTING,,1.00,30,34,Da Wu,"MR

F","01:25 PM - 02:40 PM

10:00 AM - 10:50 AM","JC101

JC101","P=ACCT 101; SOPH, JRS & SRS ONLY",N
32445,ARAB 102,1,ELEMENTARY ARABIC II,LP,1.00,19,8,Sawsan Berjawi,"TR

F","09:00 AM - 10:15 AM

10:00 AM - 10:50 AM","ASEC303

ES402",P=ARAB 101,N
33381,ARAB 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
32975,ARAB 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30058,ARTH 010,1,FROM THE STONE AGE TO OUR AGE,AP,1.00,60,38,Naomi Pitamber,MW,12:00 PM - 12:50 PM,TCRH,MUST REG FOR DISC; $20 FIELD TRIP FEE,N
30059,ARTH 010,901,DISC: STONE AGE TO OUR AGE,AP,0.00,15,15,Naomi Pitamber,F,11:00 AM - 12:50 PM,TC111,,N
30829,ARTH 010,902,DISC: STONE AGE TO OUR AGE,AP,0.00,15,10,Naomi Pitamber,F,11:00 AM - 12:50 PM,TC112,,N
32371,ARTH 010,903,DISC: STONE AGE TO OUR AGE,AP,0.00,15,9,Naomi Pitamber,F,01:25 PM - 03:15 PM,TC111,,N
32372,ARTH 010,904,DISC: STONE AGE TO OUR AGE,AP,0.00,15,4,Naomi Pitamber,F,01:25 PM - 03:15 PM,TC305,,N
33956,ARTH 131,1,BAROQUE ART IN AGE OF BERNINI,AP,1.00,28,20,John Garton,TR,10:25 AM - 11:40 AM,TC111,,N
33957,ARTH 142,1,ART: EXPERIENCE OF MODERNITY,AP,1.00,28,28,Kristina Wilson,MW,04:15 PM - 05:30 PM,TC111,,N
30061,ARTH 210,1,ART HIST: METHODS & TEACHING,,1.00,10,5,Naomi Pitamber,M,09:00 AM - 11:50 AM,TC107,,Y
33958,ARTH 230,1,CARAVAGGIO,,1.00,15,11,John Garton,R,02:50 PM - 05:50 PM,TC107,,N
33959,ARTH 245,1,URBAN ART IN JAZZ AGE NEW YORK,,1.00,15,14,Kristina Wilson,W,09:00 AM - 11:50 AM,TC107,P= ONE ARTH COURSE,N
30025,ARTH 297,1,HONORS,,1.00,10,0,Kristina Wilson,-,-,-,,Y
30337,ARTH 297,2,HONORS,,1.00,10,0,John Garton,-,-,-,,Y
30359,ARTH 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30443,ARTH 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30098,ARTS 100,1,VISUAL STUDIES: 2D DESIGN,AP,1.00,15,11,Jen Hilton,MW,09:00 AM - 11:40 AM,TC201,3 SEATS RESERVED FOR 1ST YRS,N
30099,ARTS 101,1,MYTH & SYMBOL/MIXED MEDIA,AP,1.00,15,15,Kirstin Lamb,MW,01:25 PM - 04:05 PM,TC201,$20 LAB FEE,N
30100,ARTS 102,1,"DRAWING: EYE, MIND, HAND",AP,1.00,17,17,Jan Johnson,TR,09:00 AM - 11:40 AM,TC100,3 SEATS RESERVED FOR 1ST YRS,N
30528,ARTS 102,2,"DRAWING: EYE, MIND, HAND",AP,1.00,17,17,Katie Commodore,MW,09:00 AM - 11:40 AM,TC100,3 SEATS RESERVED FOR 1ST YR STUDENTS,N
30915,ARTS 119,1,INTRO PHOTO MEDIA,AP,1.00,13,13,Eric Nichols,MW,06:00 PM - 08:35 PM,TC012,$125 LAB FEE,N
30101,ARTS 120,1,INTRODUCTION TO PHOTOGRAPHY,,1.00,13,13,Stephen DiRado,MR,09:00 AM - 11:40 AM,TC002,$100 LAB FEE; 3 SEATS RESERVED FOR 1ST YRS,N
30486,ARTS 121,1,INTERMEDIATE PHOTOGRAPHY,,1.00,13,7,Stephen DiRado,M,01:25 PM - 04:05 PM,TC002,P=ARTS 120; $100 LAB FEE,N
30502,ARTS 122,1,INTRO TO DIGITAL PHOTOGRAPHY,,1.00,13,13,Suzanne Revy,MR,01:25 PM - 04:05 PM,TC012,$125 LAB FEE; 3 SEATS RESERVED FOR 1ST YR STUDENTS,N
31384,ARTS 124,1,INTRO TO GRAPHIC DESIGN,AP,1.00,15,16,Melizza Santram-Chernov,TR,09:00 AM - 11:40 AM,MACD404,$75 LAB FEE; 3 SEATS RESERVED FOR 1ST YRS,N
30104,ARTS 129,1,DRAWING:THE BODY,,1.00,17,18,Katie Commodore,MW,01:25 PM - 04:05 PM,TC100,ARTS 102 RECOMMENDED,N
31305,ARTS 133,1,PAINTING II:STATES OF BEING,AP,1.00,17,12,Toby Sisson,TR,01:25 PM - 04:05 PM,TC100,,N
30105,ARTS 136,1,SCULPTURAL DYNAMICS,AP,1.00,12,9,James Howzell,TR,09:00 AM - 11:40 AM,SCULPT,$100 LAB FEE; 3 SEATS RESERVED FOR 1ST YRS,N
30487,ARTS 158,1,PRINTMAKING I,AP,1.00,12,14,Antonio Fonseca,MW,06:00 PM - 08:35 PM,TC001,$75 LAB FEE; 3 SEATS RESERVED FOR 1ST YRS,N
33961,ARTS 220,1,PORTFOLIO DEVELOPMENT,POP,1.00,15,12,Sherry Freyermuth,MW,09:00 AM - 11:40 AM,MACD404,$75 LAB FEE; P=4 ARTS COURSES,N
34005,ARTS 230,1,TEXT & IMAGE,POP,1.00,24,21,"Jan Johnson, Mandy Gutmann-Gonzalez","TR

TR

TR","01:25 PM - 04:05 PM

01:25 PM - 04:05 PM

01:25 PM - 04:05 PM","TC001

TC305

TC002",P= ONE CRW COURSE (CRW 100-299) OR ONE ARTS COURSE (ARTS 100 -299); $75.00 LAB FEE,N
32389,ARTS 280,1,ADV TP:THE EXPANDED MARK,,1.00,12,8,Toby Sisson,TR,09:00 AM - 11:40 AM,TC201,P=ANY ARTS COURSE; $75 LAB FEE,N
30109,ARTS 289,1,SENIOR THESIS,,1.00,15,11,Sherry Freyermuth,M,01:25 PM - 04:05 PM,MACD404,P=ARTS 234,N
30304,ARTS 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30444,ARTS 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30445,AS 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
33887,ASL 102,1,AMERICAN SIGN LANGUAGE II,LP,1.00,19,28,John Dunn,TR,09:00 AM - 10:15 AM,ES303,P=ASL 101 OR ASL 1010 OR IDND 101,N
33888,ASL 102,2,AMERICAN SIGN LANGUAGE II,LP,1.00,19,21,John Dunn,TR,10:25 AM - 11:40 AM,ES303,P=ASL 101 OR ASL1010 OR IDND 101,N
33889,ASL 104,1,AMERICAN SIGN LANGUAGE IV,LP,1.00,19,8,John Dunn,MR,02:50 PM - 04:05 PM,JC106,P=ASL 103,N
